nct_id,country
NCT03386838,United States
NCT05284214,United States
NCT03081039,United States
NCT01101438,Canada
NCT01101438,Switzerland
NCT01101438,United Kingdom
NCT01101438,United States
NCT00014222,Canada
NCT00014222,United States
NCT01864746,Australia
NCT01864746,Austria
NCT01864746,Canada
NCT01864746,France
NCT01864746,Germany
NCT01864746,Ireland
NCT01864746,Japan
NCT01864746,South Korea
NCT01864746,Spain
NCT01864746,United Kingdom
NCT01864746,United States
NCT02053610,Argentina
NCT02053610,Australia
NCT02053610,Austria
NCT02053610,Brazil
NCT02053610,Bulgaria
NCT02053610,Canada
NCT02053610,Croatia
NCT02053610,Czechia
NCT02053610,Denmark
NCT02053610,Egypt
NCT02053610,Estonia
NCT02053610,France
NCT02053610,Germany
NCT02053610,Hong Kong
NCT02053610,Italy
NCT02053610,Mexico
NCT02053610,Netherlands
NCT02053610,New Zealand
NCT02053610,Romania
NCT02053610,Russia
NCT02053610,Slovakia
NCT02053610,Spain
NCT02053610,Switzerland
NCT02053610,Thailand
NCT02053610,United Kingdom
NCT02053610,United States
NCT01908426,Australia
NCT01908426,Belgium
NCT01908426,Canada
NCT01908426,France
NCT01908426,Germany
NCT01908426,Hong Kong
NCT01908426,Ireland
NCT01908426,Italy
NCT01908426,Netherlands
NCT01908426,New Zealand
NCT01908426,Poland
NCT01908426,Romania
NCT01908426,Singapore
NCT01908426,South Korea
NCT01908426,Spain
NCT01908426,Taiwan
NCT01908426,Turkey (Türkiye)
NCT01908426,United Kingdom
NCT01908426,United States
NCT02278120,Argentina
NCT02278120,Australia
NCT02278120,Belgium
NCT02278120,Brazil
NCT02278120,Bulgaria
NCT02278120,Canada
NCT02278120,Colombia
NCT02278120,France
NCT02278120,Germany
NCT02278120,Greece
NCT02278120,Hong Kong
NCT02278120,Hungary
NCT02278120,India
NCT02278120,Italy
NCT02278120,Lebanon
NCT02278120,Malaysia
NCT02278120,Mexico
NCT02278120,Poland
NCT02278120,Portugal
NCT02278120,Russia
NCT02278120,Saudi Arabia
NCT02278120,Singapore
NCT02278120,South Korea
NCT02278120,Spain
NCT02278120,Switzerland
NCT02278120,Taiwan
NCT02278120,Thailand
NCT02278120,Turkey (Türkiye)
NCT02278120,United Arab Emirates
NCT02278120,United States
NCT02285062,Australia
NCT02285062,Belgium
NCT02285062,Canada
NCT02285062,China
NCT02285062,Czechia
NCT02285062,France
NCT02285062,Ireland
NCT02285062,Israel
NCT02285062,Italy
NCT02285062,Japan
NCT02285062,Netherlands
NCT02285062,New Zealand
NCT02285062,Portugal
NCT02285062,Puerto Rico
NCT02285062,Russia
NCT02285062,South Korea
NCT02285062,Spain
NCT02285062,Switzerland
NCT02285062,Taiwan
NCT02285062,Turkey (Türkiye)
NCT02285062,United States
NCT02041533,Argentina
NCT02041533,Australia
NCT02041533,Austria
NCT02041533,Belgium
NCT02041533,Brazil
NCT02041533,Canada
NCT02041533,Czechia
NCT02041533,Finland
NCT02041533,France
NCT02041533,Germany
NCT02041533,Greece
NCT02041533,Hungary
NCT02041533,Italy
NCT02041533,Japan
NCT02041533,Mexico
NCT02041533,Netherlands
NCT02041533,Poland
NCT02041533,Romania
NCT02041533,South Korea
NCT02041533,Spain
NCT02041533,Sweden
NCT02041533,Switzerland
NCT02041533,Taiwan
NCT02041533,Turkey (Türkiye)
NCT02041533,United Kingdom
